WeekStart,Item,Requirement,Notes
2026/4/25,单吐练习,高音防止掉下来，背谱,
2026/4/25,回娘家,倒过来分句练习，从头顺，小拍72,
2026/4/25,采茶扑蝶,最后2行76、80、84各两天，上半段两个切分➡红笔圈出从前面连4小节,有问题的地方当成点，先练好，然后从前面串起来
2026/4/25,茉莉花（二）,预习茉莉花二。唱、分析小拍子、分句,
2026/4/18,单吐练习,♩=82、84、86各两天,
2026/4/18,回娘家,连线的运用（不要一个个音吹）连贯，单独练习连线小节以及♩=78,
2026/4/18,采茶扑蝶,全按作低音2乐段单独练习，以连线一根连线反复练，4小节3小节反复练，全按作低音5乐段分句练习，说出7句间的关联,
2026/4/11,彩云追月,保留，时常复习,
2026/4/11,单独练习,♩=76、80各三天,
2026/4/11,回娘家,♩=74、78各三天,
2026/4/11,采茶扑蝶,最后两行可以看指法表练习（P256），两小节反复吹,分析小拍子检查后拍照给老师
2026/3/28,基本功,基本功每天练习，复习乐理P22、26、34,
2026/3/28,彩云追月,背谱，♩=66、69,
2026/3/28,单吐练习,♩=66、72各三天,
2026/3/28,回娘家,♩=60边唱边吹分句练,周四发视频
2026/3/14,彩云追月,♩=66练习以连线为单位,
2026/3/14,单吐练习,♩=52一行一行练好加速重点练习第三行2小节为单位、♩=52、56、60各三天,周三晚上发视频
2026/3/14,回娘家,预习，会唱，歌词抄谱子上,
2026/3/7,吹曲准备,试笛音，玻璃胶，镜子，谱架，节拍器，笔记本,
2026/3/7,基本功,新要求：16分8分练起来吹；长音5 6 高音1235 低音65,
2026/3/7,学新曲,看：用过的单音从低到高吹第二小节什么节奏型；分析附点四分音符,
2026/2/27,作业1,茉莉花、长城谣、吹连音、可以两个音连音开始,
2026/2/27,作业2,镜子要到额头,
2026/2/27,作业3,开学表演,
2026/2/13,tuku,1分钟，4个音吸气,
2026/2/13,学新曲,茉莉花（一），长城谣,
2026/2/13,游戏,架好抽笛子游戏,
2026/1/10,寒假作业,长音♩=60，5 6 高音1235 低音765,
2026/1/10,寒假作业,单吐“T” ♩=60 不要越吹越快，四个音一吸气，持续练习至少一分钟,
2026/1/10,寒假作业,每天必须照镜子练基本功，乐曲必须以句子或者比句子更小的单位（连线、小节）反复练习,
2025/12/27,大课,5有破音，节拍器使用得到表扬-节奏好,
2025/12/27,大课,先吹单音5，再高音1 3 5 再1 3 5，多练3 5,
2025/12/27,大课,学送别,
2025/12/20,大课,低音6有进步，低音5依然不稳定,
2025/12/20,作业,低音65继续练习，45低音5，低音65,
2025/12/20,作业,附点四分音符的认识和学习，唱吹春天到了,
2025/12/13,作业,继续单音练习！！！,
2025/12/13,作业,左右手练习一、二或玛丽有个小羊羔,
2025/12/13,作业,低音65吹不出-重点单独练习,
2025/12/13,作业,乐理问题多，要再巩固,
2025/12/6,大课,3 低音765；4567高音1；低音6 6 低音7 7 1高音1 低音5 5,
2025/12/6,要求,每一口气要吹掉再吹下一个,
2025/12/6,要求,每天必须照镜子练基本功,
2025/11/29,作业,左手单音练习31 34 324 314 312,
2025/11/29,作业,右手单音练习 低音76 1低音76 1低音6,
2025/11/22,要求,恢复吹长音321，手不够稳容易累，要练右手开合,
2025/11/15,要求,右手开合看着手，3孔-1天，3+2-2天，3+2+1孔-3天，声音吹不出放下再吹，P28计算题复习P17、22、26,
2025/11/8,要求,新曲子练习步骤：吹（1）乐曲中用到的音以长音形式练习（2）以小节为单位（1小节、2小节）反复练习,
2026/5/2,基本功-长音,♩=66 口令 1预备 2 3爸爸喊吸气 4吸，5 6 高音1 高音2 高音3 高音5 低音6 低音5，每个音5次，要求响平长,
2026/5/2,单吐练习,♩=82 看谱结合背谱，最后两行高音区再吹响一点,
2026/5/2,回娘家,♪=76、80各两天，加速，分句倒序练习->全曲开始背,
2026/5/2,采茶扑蝶,加速 ♪=88、98各三天，D.C. 从头反复至曲终｜Fine曲终｜Coda尾声｜D.S.从记号处反复,
2026/5/2,茉莉花（二）,争取一拍连吹，两小节2为单位练（少量练习）,
2026/5/2,基本功-颤音,每个手指颤音练习,
2026/5/2,考级,确定二级考级曲目：单吐练习、回娘家、采茶扑蝶,
